,,KUNG,,,,,
"Seven ",sɨ̀mə́,sɛmbê,sə̌mbê,sɛ̌mɛ̂,ìsêmbê,sə̀ghə̀mbɛ́,sɛ̌mbɛ̂
,,,,,,,
Eight,fámə̀,fàmə́,fámə̂,fámə́,fámə́,fǎmə́,fɛ́mə́
,,,,,,,
,,,,,,,
"Nine ",bə́límɔ̀,bwúlúmɔ̀,bwʉ́lə́mɔ̀,búlûmɔ̀,bwɔ́lɔ́mò,bwólómɔ̀,bwɔ́lɔ́mɔ́
,,,,,,,
"Ten ",íghèm,íghə̌m,ghə̀m,íghə̂m,́íghə́m,íghə̂m,íghə̀m
,,,,,,,
Twenty,ʉ̀mbə̀,íghə̀mbə̀,ghə̀mbə̌,ghə̀mbɛ̀,ghèmb’ə̀,"ghə̀mbə̀gə̀ ̀ə̀",ghə̀mbà
,,,,,,,
"Thirty ",-ʉ̀mtə̂,ghə̀mtə̂,ghə̀mtɨ̂,ghə̀mtɨ̂,ghémtə́g’ə́,ghə̀mtɨ́ghə́,ghə̀mtɨ́
,,,,,,,
"Fourty ",ghə̀mkwìə̀kə̀,ghə̀mghiɔ̀kɔ̀,ghèmkʲekɔ̀,ghə́mkʲə̀,ghémtsə́kə̀,ghə̀mtsə̀kə̀,ghèmkiə̀kə̀
,,,,,,,
"Fifty ",ʉ̀mtaǐ,ghə̀mtai,ghə̀mtai,ghə̀mtái,ghə́mtái,ghə̀mtai,ghemtái
,,,,,,,
"Sixty ",ghə̀mtùfə́,ghə̀mtûfə́,ghə̀mtùfə̂,ghə̀mtúfə́,ghə́mtúfú,ghə̀mtǔfə́,ghémtúfə́
,,,,,,,
"Seventy ",ghə̀msɛ̀mbɛ̀,ghə̀msɛ̀mbê,ghə̀msêmbê,ghèmsɛ̌mê,ghə̂msêmbê,ghə̀msɛ̌mbɛ̂,ghə̀msěmbê
,,,,,,,
"Eighty ",ghə̀mfámə̀,ghə̀mfɛ́mə̌,ghə̀mfâmə̀,ghə̀mfâmə́,ghə́mfâmé,ghə̀mfâmə́,ghèmfɛ̌mə̀
,,,,,,,
"Ninety ",ghə̀mviəlímɔ̀,ghə̀mbwɨ́lɨ́mɔ̀,ghə̀mbwɔ́lɔ́mɔ̀,ghə̀mbwɔ́lɔ́mɔ̀,ghə̌mbwɔ́lómɔ̀,ghə̀mbwɔ̀lɔ́mɔ̀,ghə̀mbwɔ́lɔ́mɔ̀
,,,,,,,
"One hundred",ùghɔ̀,úwûkə́,"No response",úwû,sɔ̀,úwʉ̌,wʉ̌
,,,,,,,
"One thousand",kám,kám,kàm,kàm,kám,kàm,kàm
,,,,,,,
"Hill ",ʉbwà,mbwà,kɔ́,úkwɔ́’ɔ́,mbwá,"útɔ́ ̀ɔ́",mbwá
"Hills ",mbwá,mbwá,úkɔ́,sə́kɔ́’ɔ́,mbwásə́,"sə́kɔ́ ̀ɔ́",sɨ́mbwá
,,,,,,,
"River ",tsɨ̀ghà’a,tsɨ̀,tsɨ̀,tsɨ̌,tsɨ̌,tsə̌,tsɨ̌
"Rivers ",tsɨ́tsə̂,tsɨ́tsə̂,tsɨ̂sə́,tə́tsɨ̂,tə́tsɨ̂,sə́tsə̂,tə́tsɨ̂
,,,,,,,
"Water ",ùmùŋə̀,"no response",mwʉ̌m,mwʉ̀m,mwʉ̀m,ùmwɔ̌,mwɔ̂
,"no response",,,,,,
,,,,,,,
"Stone ",ùtsí,àtí,ə̀tí,ə́tsí,tí,ítê,ítî
stones,ítí,ítí,útí,ə́tî,tísə́,ə́tê,ə̀tî
,,,,,,,
"Road ",únʉ́m,ùnúm,núm,únûm,núm,únɔ̌m,únûm
"Roads ",únúm,únúm,númsə́,sə́núm,númsə̂,sə́nɔ́m,sə́núm
,,,,,,,
"Mud ",kə́tsá,kə́tsá,útsá,kə́tsá,"No response",kə́tsá,kétsá
,,,,,,útsá,útsá
,,,,,,,
"Bridge ",úlɔ̀ɔ,úlwɔ̀,ʉ̀lwʉ̌,úlwɔ̌,úlɔ̌,úlwɔ̌,úlwɔ̌
bridges,lwɔ̀wɔ̀,lwɔ̀wɔ̀,úlwʉ̌,sə́lwɔ̌,lɔ̌sə̀,sə́lwɔ̌,nlwɔ̌
,,,,,,,
"Wind ",kɨ́fə́f,kɨ́fə́f,zə̀ŋ,kɨ́fə́f,"No response",kɨ́fə́f,kífə́f
,,,,,,"ùfə́f ",
,,,,,,,
"Tree ",fə́kà,fə́kâ,fə́ká,ŋkǎmə̀,sɔ̂,fə́kǎ,fə́ká
trees,nkàmə̀,nkàmə̀,úkâ,ḿkámə̀,sɔ́m,mkǎ,m̀ká
,,,,,,,
"Grass ",úwə̌,kə́ghaǐ,ghě,kə́ghɨ̌n,kéghî,kə́ghai,kə́ghě
"Grasses ",úghə̀,úghə̀,ghěsə̀,úghɨ̌n,ghèkə̀,úghai,úghě
,,,,,,,
"Goat ",bə̀,bə́,brɨ̌,bʉ́,bʉ̀,bʉ́,bʉ̀
goats,sɨ́brɨ́,sɨ́brɨ́,brɨ́sə́,sə́bʉ̂,bʉ́sə́,sə́bʉ̌,sə̀bʉ̌
,,,,,,,
"Pig ",kə̀fɨ̀lə̀,kə̀pfɨ̀ndúŋ,kə̀pfɨ̀̌ndúŋ,kə́pfɨ̀nɨ́ŋ,kə́pfə̌ndúŋ,kə̀pfɨ̀ndúŋ,kə̀pfɨ̀ndúŋ
pigs,úpfə̀ndúŋ,úpfə̀ndúŋ,fwɨ̀ndúŋsə́,ùfɨ̀ndúŋ,ùfɨ̂ndúŋ,ùpfɨ̀ndùŋ,ùfɨ̀ndúŋ
,,,,,,,
"Cat ",fə̀tàmú,fə̀dàmú,fə́tàmû,fə̀tǎmú,"No response",fə̀tàmú,fə̀tàmú
cats,m̀dàmú,m̀dàmú,ùtàmù,m̀tàmú,,m̀tàmu,mtàmú
,,,,,,,
"Snake ",zʲə̀̀̀̀́́́́́́́́́́́́́́́́́́́́́́,zə̌,zɨ̌,zə̌,zə̀,zə̌,zə̌
snakes,sɨ́zᴶə̌,sɨ́zᴶə̌,zə̂sə̂,sə́zə̂,zə̀sə̌,sə́zə̂,sə́zə̂
,,,,,,,
"Cow ",mbɔ̀lɔ́,mbɔ̀lɔ́,mbɔ̀lɔ́,mbɔ̀lɔ́,mbɔ̀ŋ,mbɔ̀lɔ́,"mbɔ̀ŋ/ mbɔ̀lɔ́"
