WORDLISTS,,MUNGBAM,,,,,
Seventy,"dzo’o kábànyìtè",dzo’okə́bə̀nyìtê,"bàdzo’o bànyàtê","bàdzo’o bànyìbátê","bàdzo’o bànyìbátê","bàdzo’o bàlétê"
"Eighty ","dzo’o bàkányìfɨ̀nyì","dzo’o bànə̀nə̀","bàdzo’o bànə̀nə̀","bàdzo’okó bànyìbǐnyǐ","bàdzo’o bànə̀nə̀","bàdzo’o bànə̀nə̀"
Ninety,"dzo’o pwánə́nyì","No response","dzo’o pwánə́nyì","dzo’o pwánə́nyì","dzo’o pwánə́nyì","dzo’o pwánə́mə̀nyì"
"One hundred",úgbwàtsɔ̀,ídzáŋkímʉ̀,gbwɛ̀kùŋù,nʉ̀tsɨ́tsálə̌,nʉ̀tsɨ́tsálə̌,nʉ̀tsálə̌
"One thousand",ìkǐkímʉ̀,"No response","No response",úgbwêkɨ́mʉ̌,ìkǐkímʉ̀,"bánɛ̂bátsə́lə́ dzo ́ó"
"Hill ",nkwʉ̀n,nkún,nkùn,nkón,nkón,nkón
"Hills ",bànkʉ̀n,bànkún,bànkún,bànkón,bànkón,bànkón
River,nyɛ́mùntɨ̀,búŋfǐ,mbû’ú,mbù,mbù,mbô
Rivers,"no response","no response",bámbù,bámbù,bámbù,bàmbô
Water,mwémú,nyí,nyê,ányə̌,ányə̌,ányə̌
Water,mwémú,nyí,nyê,ányə̌,ányə̌,ányə̌
"Stone ",tsi,àtsǐ,ìtsǐ,ìtshǐ,ìtshǐ,ìtshǐ
stones,àtsǐ,àtshǐ,àtshǐ,àtshǐ,àtshǐ,àtshì
"Road ",ìdzíyí,ìzǐ,ìdǐ,dzì,ìzǐ,ìdzì
"Roads ",àdzíyí,ází,ádí,kìdzǐlə̀,ázílə̂,kídzílə́
"Mud ",kɨ́tswàbíntǐ,bítsáŋ,kítsâfə́,bìtsɔ̌yì,úyǐ,úyǐ
"Mud ",kɨ́tswàbíntǐ,bítsáŋ,kítsâfə́,bìtsɔ̌yì,úyǐ,úyǐ
Bridge,bə́də́lə́bù,"no response",bə́də́lə́,búdə́lə̂,bə́də́lə́,bwə́də́lə̂
bridges,"no response","no response",ídə́lə́,búdə́lə́fî,ídə́lə́,kídə́lə̂
"Wind ",kífɔ́’ɔ́kí,úbwá’á,úbwá’á,úbwá’á,kífɔ́’ɔ́,úbwá’á
"Wind ",kífɔ́’ɔ́kí,úbwá’á,úbwá’á,úbwá’á,kífɔ́’ɔ́,úbwá’á
"Tree ",úkwàwə̀,úkwà,úkwà,ìtě,úkwà,úkwà
trees,íkwàmə́,íkwà,íkwà,bìtě,íkwà,íkwà
"Grass ",bínîm,ífín,úfîn,úfîn,úfîn,úfîn
"Grasses ",kə̀nìm,ífín,ífín,fɨ́fîn,ífín,"úfîn ə́dwúlə́"
"Goat ",ìbǔ,bǔ,ìbǔ,ìbǔ,ìbǔ,ìbǔ
goats,íbú,íbú,íbú,íbú,íbú,íbú
"Pig ",kìpfí,kìfí,kìfí,kìpfí,kìpfí,kìpfí
pigs,bìpfí,bìpfí,bìpfí,bìpfí,bìpfí,bìpfí
"Cat ",fɨ̀pwúshí,fɨ̀bwúsə́,fɨ̀mwúsə́,fɨ̀bwúsə́,fɨ̀bwúsə́,fɨ̀bwúsə́
cats,mə̀pwúshí,mə̀bwúsə́,mə̀bwúsə́,mə̀bwús,mə̀bwúsə́,mə̀bwúsə́
"Snake ",ìdzùŋ,ìdzùŋ,ìdzǔŋ,ìdzùŋ,idzɔ̀ŋ,idzǔŋ
snakes,ídzúŋ,ídzúŋ,ídzúŋ,ídzúŋ,kídzɔ̂nə́,kídzûnə́
"Cow ",mbùŋ,mbɔ̀ŋ,mbɔ̀’ɔ̀lɔ́,mbùŋ,mbùn,mbùŋ
cows,bàmbùŋ,bàmbùŋ,bə̀mbɔ̀lɔ́,bàmbùŋ,bàmbùŋ,bàmbùŋ
Dog,ibí,ibǐ,bǐ,ibǐ,ìbʲè,ìbǐ
"Dogs ",ibí,ibí,ibí,ibí,ibí,íbí
"Horse ",kìkànyàm,kìkúm,kìkànyàm,kìkûm,kikwúm,kikwúm
Horses,"no response",bìkùm,"no response",bìkûm,bìkwùm,bìkwùm
"Rat ",kìŋkǔ,kìŋkǔ,kìnkwǒ,kìŋkǒ,kìŋkɔ̌,kìŋkô
rats,bìŋkǔ,bìŋkǔ,"no response",bìŋkǒ,bìŋkɔ̌,bìŋkô
"Fly ",kízaŋ,kìzə̀ŋ,kìzə̀ŋ,bìzə̀ŋ,kìzə̀ŋ,kìzə̀ŋ
flies,bìzə̀ŋ,bìzə̀ŋ,bìzə̀ŋ,bìzə̀ŋbì,bìzə̀ŋ,bìzə̀ŋ
"Cockroach ","No response","No response","No response",bífá’á,kífá’á,kífá’á
cockroaches,"No response","No response","No response",bífá’ábǐ,bífá’á,bífá’á
"Maggot ",wàtsìtúbú,"no response",bíywǎn,bíyûn,kíyûn,kíyûn
Maggots,"no response","no response","no response",bíyûnbǐ,bíyûn,bíyûn
"Lizard ",ífʲámú,"no response","no response",ibambwà’à,kìbwà’à,fìmbɛ̌n
Lizards,"no response","no response","no response",bambwà’àwǐ,bìbwà’à,mùmbɛ̌n
"Frog ","No response","No response",kìgbákún,kìgbákún,kìgbákún,kìgbákúŋ
Frogs,"No response","No response","no response",bìgbákúŋ,bìgbákúŋ,bìgbákúŋ
Louse,bə̀kàlàmbáŋbó,əŋkràgbáŋ,əŋkràgbáŋ,ə̀ŋkə̀lə̀mbáŋ,əŋkràgbáŋ,
lice,m̀kàlàmbáŋ,bàkàlàgbá,màkràgbáŋ,ə̀ŋkə̀lə̀mbáŋbû,məŋkràgbáŋ,
"Bird ",kímwǎkí,"no response",kímwǎn,kímwǎ,kímwǎ,kǐmwǎ
"Birds ","no response","no response","no response",bímwǎ,bímwǎ,m̀mwă
"Fish ",ìshàbíyə́ŋ,ìshàbíyə́ŋ,ìshàbíyə́ŋ,ìshàbíyə́ŋ,ìshàbíyə́ŋ,ìshàbə̀yə́ŋ
"Fish ",ìshàbíyə́ŋ,ìshàbíyə́ŋ,ìshàbíyə́ŋ,ìshàbíyə́ŋ,ìshàbíyə́ŋ,ìshàbíyə́ŋ
"Termite ","No response","No response","No response","Same appellation as in Pidgin English ‘ngo’",kíndɛ̌,kìdwə̂n
"Termites ","No response","No response","No response","Same appellation as in Pidgin English ‘ngo’",bíndɛ̌,bìdzwə̂n
"Hawk ",kítsɔ̀kì,"no response",tàŋwʉ̀lě,fíntàŋ,fwíntàŋ,fíntàŋ
"Hawks ","no response","no response","no response",mùntàŋmǔ,mùntàŋ,mùntàŋ
"Bee ",kíyǔyí,íyɔ̀,íyɔ́’ɔ́,íyɔ́’ɔ́,íyɔ́’ɔ́,ìyɔ̌
"Bees ","no response",kíyɔ́’ɔ́lə́,kíyɔ́’ɔ́lə́,kíyɔ́’ɔ́líkî,kíyɔ́’ɔ́lə́,kíyɔ́’ɔ́lə́
"Cocoyam ",bìnsîbí,kìŋfí,kìŋfí,bə̀kǎbà,kíyǔ,kǐmfí
"Cocoyams ","no response",bə̀ŋfí,bə̀ŋfí,bə̀kǎbàbǔ,bíyǔ,bìmfí
"Corn ",ídzá’á,ídzá’á,ídzá’á,ídzá’á,ídzá’á,ídzá’á
"Corns ",ádzá̀’á,ádzá̀’á,ádzá̀’á,ádzá̀’áwû,ádzá̀’á,ádzá̀’á
"Meat ",ìshà,ìshà,ìshà,ìshà,ìshà,ìshà
meats,íshá’à,íshá’à,íshá’à,íshá’àwû,íshá’à,íshá
"Potato ",kə̀làŋà,kə̀làŋà,kə̀làŋà,bə̀làŋà,òlàŋà,òlàŋà
potatoes,bə̀làŋà,bə̀làŋà,bə̀làŋà,bə̀làŋə̀bʉ̂,bə̀làŋà,bə̀làŋà
"Plantain ",kíwúm,kíwúm,kíwúm,biwúm,kíwúm,kíwúm
plantains,biwúm,biwúm,biwúm,biwúmbǐ,biwúm,biwúm
"Garden egg",kìtsùŋ,"no response",kìtsùŋnə̌bə̀,bìtsùŋ,kìtsùŋ,kìdzùŋ
"Garden eggs ",bìtsùŋ,"no response",bìtsùŋnə̌bə̀,bìtsùŋbǐ,bìtsùŋ,bìdzùŋ
